Age,1881-1890,1891-1900,1901-1910,1920-1922,1932-1934,1946-1948,1953-1955,1960-1962,1965-1967,1970-1972,1975-1977,1980-1982,1985-1987,1990-1992,1995-1997,2000-02,2005-07,,Source
45,0.01167,0.00917,0.00807,0.00606,0.00523,0.00411,0.00341,0.003,0.00313,0.00298,0.00264,0.00207,0.0018,0.00152,0.00137,0.0013,0.00124,,
46,0.01202,0.00956,0.00825,0.00637,0.00561,0.00447,0.00374,0.00327,0.00345,0.00331,0.00289,0.00228,0.002,0.00168,0.0015,0.00141,0.00135,,
47,0.01247,0.00994,0.00851,0.00674,0.00601,0.00489,0.00409,0.00357,0.00381,0.00362,0.00317,0.00252,0.00223,0.00186,0.00166,0.00154,0.00147,,
48,0.01297,0.0104,0.0088,0.00715,0.00645,0.00537,0.00447,0.0039,0.00418,0.00397,0.00344,0.00277,0.00247,0.00206,0.00183,0.00168,0.00159,,
49,0.01345,0.01088,0.00915,0.0076,0.00693,0.00588,0.00487,0.00425,0.00456,0.00434,0.00375,0.00305,0.00274,0.00228,0.00202,0.00184,0.00173,,
50,0.01399,0.01142,0.00956,0.00808,0.00744,0.00641,0.0053,0.00464,0.00496,0.00474,0.00408,0.00334,0.00302,0.00252,0.00223,0.00202,0.00187,,
51,0.01463,0.01202,0.00999,0.00858,0.00797,0.00695,0.00575,0.00505,0.00539,0.00516,0.00444,0.00365,0.00332,0.00278,0.00246,0.00221,0.00202,,
52,0.01538,0.01265,0.01054,0.00911,0.00853,0.00746,0.00624,0.00548,0.00583,0.00556,0.00482,0.00398,0.00364,0.00307,0.00272,0.00243,0.00218,,
53,0.01622,0.01345,0.01117,0.00968,0.00908,0.00796,0.00675,0.00593,0.00632,0.00603,0.00524,0.00435,0.00398,0.00338,0.003,0.00267,0.00235,,
54,0.01714,0.01438,0.01192,0.01032,0.00961,0.00848,0.0073,0.00641,0.00684,0.00647,0.00569,0.00475,0.00434,0.00372,0.00331,0.00293,0.00252,,
55,0.01818,0.01542,0.01277,0.01103,0.01019,0.00908,0.0079,0.00693,0.00738,0.00708,0.00619,0.00518,0.00472,0.00409,0.00364,0.00322,0.00272,,
56,0.01927,0.01656,0.0137,0.01181,0.01086,0.00979,0.00855,0.00749,0.00799,0.00771,0.00674,0.00567,0.00512,0.00449,0.00401,0.00354,0.00296,,
57,0.02037,0.01778,0.01476,0.01266,0.01166,0.0106,0.00927,0.00814,0.00864,0.0084,0.00734,0.00619,0.00555,0.00492,0.0044,0.00388,0.00325,,
