Age,1881-1890,1891-1900,1901-1910,1920-1922,1932-1934,1946-1948,1953-1955,1960-1962,1965-1967,1970-1972,1975-1977,1980-1982,1985-1987,1990-1992,1995-1997,2000-2002,2005-07,,Source
79,0.12757,0.12799,0.12868,0.1222,0.11427,0.11125,0.11025,0.10713,0.11035,0.11197,0.09995,0.09285,0.08452,0.07763,0.06972,0.05883,0.05167,,
80,0.13646,0.13839,0.13795,0.1334,0.12659,0.12011,0.11958,0.11617,0.11909,0.12069,0.10843,0.10062,0.09235,0.08504,0.07722,0.06399,0.0576,,
81,0.14568,0.14906,0.14774,0.1449,0.13941,0.13005,0.1297,0.12607,0.12874,0.12936,0.11753,0.10896,0.10089,0.09297,0.08538,0.06969,0.06422,,
82,0.15542,0.16052,0.15876,0.1565,0.15199,0.14146,0.14059,0.13679,0.13937,0.1407,0.12726,0.11789,0.11018,0.10141,0.09419,0.07687,0.0716,,
83,0.16592,0.17219,0.17091,0.1687,0.16417,0.15434,0.15213,0.14836,0.1509,0.15186,0.13765,0.12744,0.12024,0.11035,0.10364,0.08545,0.07983,,
84,0.17709,0.18409,0.18366,0.1816,0.17638,0.16842,0.16428,0.16062,0.16324,0.16125,0.14871,0.13762,0.1311,0.1198,0.11373,0.09512,0.08896,,
85,0.18895,0.19629,0.19701,0.1958,0.18864,0.18332,0.17692,0.17363,0.17617,0.17289,0.16043,0.14848,0.14276,0.12975,0.12443,0.10556,0.09907,,
86,0.20142,0.20821,0.21092,0.2118,0.20098,0.19862,0.19013,0.18726,0.18949,0.18706,0.17283,0.16002,0.15494,0.1402,0.13574,0.11648,0.1102,,
87,0.21449,0.22039,0.22573,0.229,0.21342,0.21372,0.20395,0.20151,0.20312,0.20177,0.18585,0.17224,0.16737,0.15112,0.14764,0.1276,0.12236,,
88,0.22812,0.23276,0.24182,0.247,0.22571,0.22979,0.21848,0.2162,0.21707,0.21644,0.19919,0.18519,0.17976,0.16258,0.1601,0.13863,0.13534,,
89,0.24226,0.24529,0.25907,0.265,0.2378,0.24687,0.23382,0.23133,0.23129,0.2315,0.2125,0.1988,0.19187,0.17439,0.17298,0.14932,0.14892,,
90,0.2569,0.25838,0.27736,0.283,0.24986,0.265,0.25009,0.24675,0.24576,0.24497,0.22548,0.21296,0.20343,0.1862,0.186,0.15934,0.16286,,
91,0.27199,0.27199,0.2966,0.302,0.26226,0.28419,0.26742,0.26241,0.26058,0.25733,0.23784,0.22749,0.21423,0.19937,0.19756,0.16828,0.17696,,
92,0.28746,0.28601,0.31672,0.321,0.27559,0.30445,0.28578,0.27821,0.27577,0.26912,0.24928,0.24224,0.22405,0.21385,0.20646,0.17638,0.19102,,
93,0.30329,0.30079,0.33757,0.341,0.29059,0.32581,0.3051,0.29415,0.29125,0.28037,0.25957,0.25705,0.23268,0.22753,0.21344,0.18443,0.20484,,
94,0.31978,0.317,0.35907,0.362,0.30829,0.34827,0.32538,0.31023,0.30694,0.2911,0.26844,0.27181,0.24155,0.2409,0.2202,0.19309,0.21824,,
95,0.33723,0.33483,0.38111,0.384,0.32988,0.3718,0.34663,0.32649,0.32274,0.30134,0.27578,0.28638,0.25069,0.25515,0.22745,0.20205,0.23106,,
96,0.35552,0.35446,0.4036,0.407,0.35677,0.3964,0.3688,0.34294,0.33857,0.31112,0.28191,0.30063,0.26012,0.26912,0.23453,0.21069,0.24315,,
97,0.37483,0.37605,0.42641,0.431,0.39057,0.42202,0.39187,0.35963,0.35444,0.32048,0.28721,0.31448,0.26982,0.28117,0.24178,0.21929,0.25437,,
98,0.39568,0.39928,0.44946,0.456,0.4331,0.44862,0.41578,0.37654,0.37031,0.32941,0.29206,0.32781,0.27982,0.29071,0.24951,0.22784,0.26458,,
99,0.42605,0.43177,0.48002,0.486,0.4864,0.47611,0.44045,0.39364,0.38625,0.33797,0.29682,0.34055,0.2901,0.29831,0.2577,0.23634,0.27366,,
100,0.47392,0.48114,0.52536,0.53,0.5527,0.50441,0.46577,0.41087,0.40229,0.34615,0.30164,0.35369,0.30067,0.30452,0.26622,0.24479,0.28205,,
